seed,configuration,accuracy,macro_precision,macro_recall,macro_f1
202601,End-to-end | Softmax CE | None,80.2672,76.6063,71.8824,72.9912
202609,Frozen | RF | Balanced bootstrap,78.6695,78.9172,66.7914,71.913
202610,Frozen | RF | Balanced bootstrap,78.9654,79.5696,66.1195,71.5599
202601,Frozen | CatBoost | None,79.1424,75.3876,70.0693,72.3801
202602,Frozen | CatBoost | None,79.3108,75.1762,70.2316,72.2831
202603,Frozen | CatBoost | None,79.4796,75.8474,70.2091,72.0071
202604,Frozen | CatBoost | None,79.4431,75.3918,71.1916,72.3599
202605,Frozen | CatBoost | None,78.958,75.6439,70.5135,72.4624
202606,Frozen | CatBoost | None,79.0849,75.5329,70.288,71.9073
202607,Frozen | CatBoost | None,79.2676,75.764,70.2374,71.8545
202608,Frozen | CatBoost | None,78.8827,75.7654,70.4592,71.5322
202609,Frozen | CatBoost | None,79.0277,75.4848,70.2277,72.2814
202610,Frozen | CatBoost | None,79.1032,75.006,70.1725,72.3319
